Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-17 14:25:14,19.3,84.0,199892.6328125,401221.78125,52.5,25645.99,13269.35,219925.76
2025-03-17 14:25:20,22.7,82.3,199935.72265625,401262.20703125,52.5,25651.17,13271.44,219966.13
2025-03-17 14:25:26,25.5,84.3,200175.41015625,401379.8125,52.6,25657.48,13276.76,220001.48
2025-03-17 14:25:32,12.9,81.7,200191.75390625,401387.8203125,52.5,25660.69,13278.87,220043.77
2025-03-17 14:25:38,50.8,84.6,200467.26171875,401721.95703125,52.6,25668.63,13285.95,220075.21
2025-03-17 14:25:44,39.4,83.4,200647.015625,401727.0546875,52.6,25678.2,13290.5,220108.22
2025-03-17 14:25:50,14.9,83.7,200811.875,401847.88671875,52.6,25684.27,13295.15,220144.55
2025-03-17 14:25:56,32.2,85.1,201059.80078125,401945.97265625,52.4,25689.57,13301.39,220179.61
2025-03-17 14:26:02,19.7,83.0,201096.84765625,402037.2578125,52.6,25696.9,13304.92,220215.95
2025-03-17 14:26:08,26.3,82.7,201137.72265625,402156.15625,52.6,25702.89,13309.11,220252.84
2025-03-17 14:26:14,15.1,83.5,201141.76953125,402156.4765625,52.6,25708.31,13311.81,220292.08
2025-03-17 14:26:20,18.4,82.8,201183.8515625,402273.83984375,52.6,25714.83,13316.13,220328.35
2025-03-17 14:26:26,16.5,83.8,201401.32421875,402279.4453125,52.6,25720.96,13320.59,220364.54
2025-03-17 14:26:32,13.1,82.5,201436.2109375,402399.41796875,52.6,25725.73,13324.24,220403.36
2025-03-17 14:26:38,25.9,84.7,201469.84375,402501.94140625,52.6,25731.65,13328.14,220440.85
2025-03-17 14:26:44,15.8,83.0,201486.8671875,402519.33984375,52.6,25737.58,13330.88,220479.58
2025-03-17 14:26:50,34.7,83.1,201571.484375,402723.71875,52.6,25744.06,13335.95,220514.79
2025-03-17 14:26:56,13.7,82.7,201630.125,402731.28125,52.6,25749.06,13338.98,220554.02
2025-03-17 14:27:02,13.3,81.7,201663.4765625,402849.921875,52.5,25754.93,13342.8,220591.56
2025-03-17 14:27:08,12.6,82.4,201673.36328125,402850.04296875,52.5,25759.79,13345.1,220631.94
2025-03-17 14:27:14,22.4,82.4,201719.5625,402972.4921875,52.5,25765.54,13349.01,220669.62
2025-03-17 14:27:20,24.8,83.3,201744.60546875,402974.64453125,52.5,25770.59,13352.08,220708.85
2025-03-17 14:27:26,21.6,84.6,201942.38671875,403109.15625,52.6,25779.74,13358.0,220740.59
2025-03-17 14:27:32,25.7,84.0,202082.18359375,403222.86328125,52.6,25787.08,13363.42,220774.65
2025-03-17 14:27:38,15.4,83.1,202110.21484375,403229.69921875,52.6,25794.15,13366.76,220811.49
2025-03-17 14:27:44,16.5,82.1,202159.08984375,403348.484375,52.6,25800.41,13370.68,220848.6
2025-03-17 14:27:50,19.8,81.9,202198.83203125,403349.6875,52.6,25806.12,13373.73,220887.09
2025-03-17 14:27:56,13.6,81.3,202235.68359375,403465.296875,52.6,25812.38,13377.69,220924.18
2025-03-17 14:28:02,25.8,83.4,202267.5703125,403470.265625,52.6,25817.4,13380.83,220963.19
2025-03-17 14:28:08,13.9,82.1,202346.12109375,403586.671875,52.6,25826.63,13385.33,220996.5
2025-03-17 14:28:14,29.0,83.7,202387.65625,403738.0078125,52.6,25834.27,13389.59,221031.33
2025-03-17 14:28:20,19.1,82.9,202411.6640625,403743.50390625,52.6,25841.79,13392.83,221067.85
2025-03-17 14:28:26,22.8,83.6,202675.07421875,403863.91796875,52.6,25854.38,13398.68,221096.31
2025-03-17 14:28:32,12.9,83.4,202685.28515625,403866.90625,52.6,25859.86,13401.32,221135.41
2025-03-17 14:28:38,13.6,82.7,202729.078125,403982.55078125,52.6,25865.51,13405.21,221173.16
2025-03-17 14:28:44,19.7,83.5,202744.08203125,403985.79296875,52.6,25873.71,13408.68,221208.78
2025-03-17 14:28:50,45.7,82.8,203089.02734375,404142.19921875,52.6,25884.09,13416.67,221236.74
2025-03-17 14:28:56,28.4,82.9,203170.578125,404200.8984375,52.5,25888.4,13420.61,221275.81
2025-03-17 14:29:02,26.4,83.1,203487.82421875,404273.48046875,52.6,25897.65,13424.06,221310.37
2025-03-17 14:29:08,43.3,84.2,204052.02734375,404391.98828125,52.6,25907.69,13429.36,221342.01
2025-03-17 14:29:14,53.5,85.2,204787.1484375,404807.578125,52.6,25920.81,13439.95,221363.58
2025-03-17 14:29:20,37.3,84.3,205493.34765625,405042.62109375,54.1,25933.33,13449.54,221386.8
2025-03-17 14:29:26,30.5,85.0,206056.2578125,405057.8671875,53.8,25940.79,13456.73,221418.04
2025-03-17 14:29:32,20.9,83.8,206550.921875,405192.234375,53.7,25948.68,13462.6,221450.23
2025-03-17 14:29:38,29.8,84.7,206826.8828125,405338.3828125,53.7,25955.86,13468.03,221484.39
2025-03-17 14:29:44,21.3,84.6,206929.515625,405345.015625,53.7,25962.47,13471.98,221520.76
2025-03-17 14:29:50,21.7,82.5,207039.55859375,405501.22265625,53.7,25969.71,13476.97,221555.3
2025-03-17 14:29:56,5.4,82.7,207323.69140625,405529.91015625,53.7,25976.74,13483.03,221588.63
2025-03-17 14:30:02,10.8,82.1,207478.01171875,405653.53515625,53.7,25981.65,13487.14,221626.76
2025-03-17 14:30:08,48.1,85.1,207569.0234375,405800.5859375,53.7,25988.72,13492.67,221661.12
2025-03-17 14:30:14,48.4,84.9,208081.91796875,406015.359375,53.7,26002.71,13502.21,221683.03
2025-03-17 14:30:20,40.8,84.2,208307.37109375,406133.37109375,53.7,26013.38,13508.16,221713.01
2025-03-17 14:30:26,32.8,84.9,208531.08984375,406144.01171875,52.3,26026.61,13515.8,221738.27
2025-03-17 14:30:32,31.1,83.9,209246.05859375,406276.234375,52.3,26037.38,13523.86,221765.13
2025-03-17 14:30:38,31.1,82.9,209609.30078125,406394.28515625,52.6,26046.11,13529.47,221797.62
